                        11 111 |nw = 110, c+1 = 336
                        11 111 |nw = 110, c+1 = 352
                        11 1111|nw = 111, c+1 = 215
                        11 1111|nw = 111, c+1 = 328
                        11 1111|nw = 111, c+1 = 570
                        111    |nw = 112, c+1 = 211
                        111    |nw = 112, c+1 = 255
                        111    |nw = 112, c+1 = 332
                        111    |nw = 112, c+1 = 626
                        111   1|nw = 113, c+1 = 247
                        111   1|nw = 113, c+1 = 253
                        111   1|nw = 113, c+1 = 330
                        111  1 |nw = 114, c+1 = 208
                        111  1 |nw = 114, c+1 = 220
                        111  1 |nw = 114, c+1 = 354
                        111  1 |nw = 114, c+1 = 613
                        111  1 |nw = 114, c+1 = 627
                        111  11|nw = 115, c+1 = 553
                        111 1  |nw = 116, c+1 = 209
                        111 1  |nw = 116, c+1 = 245
                        111 1 1|nw = 117, c+1 = 1046
                        111 1 1|nw = 117, c+1 = 218
                        111 1 1|nw = 117, c+1 = 360
                        111 11 |nw = 118, c+1 = 338
                        111 11 |nw = 118, c+1 = 623
                        111 111|nw = 119, c+1 = 221
                        111 111|nw = 119, c+1 = 356
                        111 111|nw = 119, c+1 = 554
                        111 111|nw = 119, c+1 = 557
                        1111   |nw = 120, c+1 = 254
                        1111   |nw = 120, c+1 = 256
                        1111   |nw = 120, c+1 = 337
                        1111   |nw = 120, c+1 = 558
                        1111  1|nw = 121, c+1 = 248
                        1111  1|nw = 121, c+1 = 568
                        1111 1 |nw = 122, c+1 = 210
                        1111 1 |nw = 122, c+1 = 610
                        1111 11|nw = 123, c+1 = 1048
                        1111 11|nw = 123, c+1 = 219
                        1111 11|nw = 123, c+1 = 246
                        1111 11|nw = 123, c+1 = 362
                        1111 11|nw = 123, c+1 = 569
                        1111 11|nw = 123, c+1 = 614
                        11111  |nw = 124, c+1 = 339
                        11111  |nw = 124, c+1 = 572
                        11111  |nw = 124, c+1 = 624
                        11111 1|nw = 125, c+1 = 333
                        111111 |nw = 126, c+1 = 222
                        111111 |nw = 126, c+1 = 355
                        111111 |nw = 126, c+1 = 611
                        1111111|nw = 127, c+1 = 212
                        1111111|nw = 127, c+1 = 331
                        1111111|nw = 127, c+1 = 361
                       1       |nw = 128, c+1 = 370
                       1       |nw = 128, c+1 = 444
                       1       |nw = 128, c+1 = 450
                       1       |nw = 128, c+1 = 690
                       1       |nw = 128, c+1 = 693
                       1      1|nw = 129, c+1 = 363
                       1     1 |nw = 130, c+1 = 364
                       1    1  |nw = 132, c+1 = 385
                       1    1  |nw = 132, c+1 = 386
                       1    1  |nw = 132, c+1 = 449
                       1    1 1|nw = 133, c+1 = 390
                       1    1 1|nw = 133, c+1 = 631
                       1    1 1|nw = 133, c+1 = 632
                       1    1 1|nw = 133, c+1 = 644
                       1    111|nw = 135, c+1 = 468
                       1    111|nw = 135, c+1 = 678
                       1    111|nw = 135, c+1 = 681
                       1   1   |nw = 136, c+1 = 446
                       1   1   |nw = 136, c+1 = 467
                       1   1   |nw = 136, c+1 = 629
                       1   1  1|nw = 137, c+1 = 628
                       1   1  1|nw = 137, c+1 = 679
                       1   1 1 |nw = 138, c+1 = 369
                       1   1 1 |nw = 138, c+1 = 464
                       1   1 1 |nw = 138, c+1 = 691
                       1   1 11|nw = 139, c+1 = 682
                       1   11  |nw = 140, c+1 = 387
                       1   11  |nw = 140, c+1 = 463
                       1   11  |nw = 140, c+1 = 641
                       1   11  |nw = 140, c+1 = 642
                       1   11  |nw = 140, c+1 = 645
                       1   11 1|nw = 141, c+1 = 445
                       1   1111|nw = 143, c+1 = 365
                       1   1111|nw = 143, c+1 = 391
                       1   1111|nw = 143, c+1 = 392
                       1   1111|nw = 143, c+1 = 694
                       1  1   1|nw = 145, c+1 = 452
                       1  1   1|nw = 145, c+1 = 470
                       1  1   1|nw = 145, c+1 = 695
                       1  1  1 |nw = 146, c+1 = 371
                       1  1  1 |nw = 146, c+1 = 469
                       1  1 1  |nw = 148, c+1 = 366
                       1  1 1  |nw = 148, c+1 = 389
                       1  1 1  |nw = 148, c+1 = 451
                       1  1 1  |nw = 148, c+1 = 643
